episodeID, SubjectID
EID275,"[SUB14,SUB17,SUB27,SUB28,SUB32,SUB42,SUB49,SUB59,SUB60]"
EID276,"[SUB3,SUB17,SUB52,SUB56,SUB59,SUB66]"
EID277,"[SUB8,SUB17,SUB28,SUB49,SUB59,SUB60,SUB62]"
EID278,"[SUB15,SUB27,SUB38,SUB39,SUB47,SUB49,SUB53,SUB59,SUB60]"
EID279,"[SUB9,SUB13,SUB17,SUB28,SUB49,SUB59,SUB60,SUB62]"
EID280,"[SUB9,SUB15,SUB27,SUB33,SUB38,SUB39,SUB42,SUB44,SUB53,SUB56,SUB59,SUB60]"
EID281,"[SUB14,SUB15,SUB16,SUB38,SUB39,SUB52,SUB59,SUB60,SUB66]"
EID282,"[SUB4,SUB14,SUB27,SUB41,SUB42,SUB57,SUB63]"
EID283,"[SUB15,SUB49,SUB50,SUB59,SUB60]"
EID284,"[SUB15,SUB28,SUB49,SUB59,SUB60]"
